bait_organism,bait_name,gene_name
SARS-CoV-2,E,TTF1
SARS-CoV-2,E,STIP1
SARS-CoV-2,E,MDH1
SARS-CoV-2,E,CS
SARS-CoV-2,E,RBM5
SARS-CoV-2,E,RPL39
SARS-CoV-2,E,PRPF40A
SARS-CoV-2,E,ATP6V1B1
SARS-CoV-2,E,TAF4
SARS-CoV-2,E,CAAP1
SARS-CoV-2,M,PCCA
SARS-CoV-2,M,PLEKHG4
SARS-CoV-2,M,TRIM7
SARS-CoV-2,M,VPS13A
SARS-CoV-2,M,SLC29A3
SARS-CoV-2,M,ATP7B
SARS-CoV-2,M,ACSF2
SARS-CoV-2,M,KIAA0355
SARS-CoV-2,M,HOOK2
SARS-CoV-2,M,NCAPH2
SARS-CoV-2,M,ALDH5A1
SARS-CoV-2,M,ATP2A3
SARS-CoV-2,M,RNF145
SARS-CoV-2,M,ACADS
SARS-CoV-2,M,MCFD2
SARS-CoV-2,M,FPGS
SARS-CoV-2,M,TMTC4
SARS-CoV-2,M,NFE2L2
SARS-CoV-2,M,ATP12A
SARS-CoV-2,M,ATP13A3
SARS-CoV-2,M,NR2C2
SARS-CoV-2,M,ERGIC2
SARS-CoV-2,M,PPA2
SARS-CoV-2,M,SLC37A4
SARS-CoV-2,M,CAV1
SARS-CoV-2,M,L2HGDH
SARS-CoV-2,M,RUFY2
SARS-CoV-2,M,ATG9A
SARS-CoV-2,M,SLC16A4
SARS-CoV-2,M,IRAK1
SARS-CoV-2,M,SGSM3
SARS-CoV-2,M,RBFOX2
SARS-CoV-2,M,ORC4
SARS-CoV-2,M,MALL
SARS-CoV-2,M,GUSB
SARS-CoV-2,M,C2CD2
SARS-CoV-2,M,POMT1
SARS-CoV-2,M,UBE3C
SARS-CoV-2,M,MED24
SARS-CoV-2,M,MIPEP
SARS-CoV-2,M,NDUFS2
SARS-CoV-2,M,ATP8B2
SARS-CoV-2,M,PSEN2
SARS-CoV-2,M,POLD3
SARS-CoV-2,M,PRPF39
